评论用户,评论时间,评论内容
评论用户,评论时间,评论内容
评论用户,评论时间,评论内容
评论用户,评论时间,评论内容
评论用户,评论时间,评论内容
评论用户,评论时间,评论内容
评论用户,评论时间,评论内容
评论用户,评论时间,评论内容
评论用户,评论时间,评论内容
评论用户,评论时间,评论内容
评论用户,评论时间,评论内容
评论用户,评论时间,评论内容
评论用户,评论时间,评论内容
评论用户,评论时间,评论内容
评论用户,评论时间,评论内容
评论用户,评论时间,评论内容
天幽逝,2024-12-11 02:40,这都是人民的选择 绝不干涉
都都是小猪,2024-12-11 03:24,以做梦都笑醒，以前找不到，现在聚在一起，这不一锅端还白拿一个国家的地，最关键留下的全是白送的，连地道都没挖
欲求不満,2024-12-11 03:41,就算有人帮，该吃的苦一样都不会少吃
飞行法棍,2024-12-11 03:55,本来也是阿萨德父子强行压着矛盾又没解决，现在直接炸了，帮也帮不了，只能等吃鸡打完后再看看有没有能上桌收拾残局的
hell2man,2024-12-11 04:38,叙利亚百姓无不盼望鱿鱼前来救苦救难<br>搞不好鱿鱼来了又图图一遍<br>想不到叙利亚拿到了大明的剧本
微笑之时,2024-12-11 04:54,不吃牛肉
BaKa_exe,2024-12-11 05:21,尊重选择
风的季节123,2024-12-11 06:02,老败登的发言就是笑话。
深渊凝视着你🍩,2024-12-11 06:09,只能感叹好在出生在一个和平国家
爱似诡计难分,2024-12-11 06:51,以做梦都笑醒，以前找不到，现在聚在一起，这不一锅端还白拿一个国家的地，最关键留下的全是白送的，连地道都没挖。
杜子垩,2024-12-11 07:22,网上总有人搁那cos什么右派幻想前现代克制后现代。然而破城之后屠城也是前现代经典的一环，不爽不要玩。而且屠的不是别人就是小市民。
-谁有不平事-,2024-12-11 07:34,该反抗的时候不反抗，现在刀架脖子上跑不了了
rrrfry,2024-12-11 07:40,现在不就等于没叙利亚这个国家了吗？谁都能去占领了？
东云結衣,2024-12-11 07:48,啊？
萨里安,2024-12-11 08:04,其实阿萨德没错啊 有些事情全部打破重建才是最简单的 人哪 吃完苦自然之道什么好 什么坏 敌人不就清楚了
贴用户5jxn4,2024-12-11 08:07,相信叙利亚人民的智慧，支持叙利亚人民的选择
风吹✪草动,2024-12-11 08:09,因为他们也知道自己根本管理不了一个国家所以不如趁机烧杀抢掠一番提高威望和利益，老美可能会支持库尔德建国但库尔德肯定是统治不了整个叙利亚的
桃乐丝,2024-12-11 08:12,他们的认知，配得上他们的苦难
前掠翼无人机,2024-12-11 08:15,怎么不笑了？喜迎王师是这样的
释洛D银,2024-12-11 08:18,人民的福报
贴吧用户_JRb2NM9576,2024-12-11 08:34,现在就是全球集体向右转，以后的乐子更大
灵墟山修道,2024-12-11 08:48,任敏的选择
神奇护身符,2024-12-11 08:48,早晚被以色列收拾
干，干什么了,2024-12-11 08:52,以色列笑嘻了
兀鹫AT,2024-12-11 08:56,只能说这些政府军脑子不好，被伊朗人和俄国人保护的太好了，好日子过太长了不知道投了命就是人家说了算了。
贴吧用户_745J2K8,2024-12-11 08:56,被处决的人里有没有前两天还在庆祝推到政府的？
CNlin006,2024-12-11 08:56,这种真是思想行动配得上苦难了，看过一个回答之前阿萨姆还能压制大饼价格，主要烦恼还是能不能吃饱，现在直接滑坡成我们都在努力地活着，别说大饼了，命都难保
贴吧用户_GC176XZ,2024-12-11 08:59,什么明末
月下的但丁,2024-12-11 09:00,快进到留包皮不留头
罗兰子爵,2024-12-11 09:01,关我们屁事
李普儿,2024-12-11 09:02,“百姓夹道欢迎”“人民的选择”。。。。。。
只因产业升级改造,2024-12-11 09:06,历史一再重演，他们根本不在乎国家，也根本不在意人民，他们只是想打翻现在这个桌子好让自己也上桌吃饭罢了
阿爹不想破功,2024-12-11 09:11,牙医软弱又无能，讽刺的是他是整个叙利亚中拟人的那个了
天心守望,2024-12-11 09:11,图图光了富哥 你就是富哥
诺奖得主奥巴马,2024-12-11 09:12,这个才是解决问题的方法突突没了就不用管了
久久久鸡,2024-12-11 09:13,黄巢来啦，这也是历史进程的一环
docholas324,2024-12-11 09:13,认知配得上这种苦难
退1龙飞,2024-12-11 09:19,杀的
小灰的武士刀,2024-12-11 09:23,不破不立，等这波吃鸡大赛结束了。
沙田小情兽,2024-12-11 09:26,民主的选择罢了
查布-多德勒,2024-12-11 09:27,看来叙利亚是什么制度都要试一下了，最终能不能向东看，就看叙利亚屁民有没有我们这种福气了.......
鋼鐵DE孤狼,2024-12-11 09:31,阿拉伯人配得上他们的苦难
糯米OvO,2024-12-11 09:32,以色列都笑死了，能炸的炸，能抢的抢，回头随便找张纸写个应许之地，叙利亚就姓犹了
